"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.493216667E-2,-1.516782358E-2,6.878255188E-2,-1.319324809E-1
2.490216668E-2,9.071735814E-2,1.188288707E-1,-2.738666242E-1
3.487216667E-2,1.323463176E-1,1.447565943E-1,-3.540009606E-1
4.484216668E-2,1.053880222E-1,9.944535077E-2,-3.484338266E-1
5.481316667E-2,1.230549458E-1,6.389837265E-2,-2.567711198E-1
6.478316669E-2,1.533446923E-2,2.204166412E-2,-2.847149634E-1
7.475316667E-2,-5.399903655E-2,3.576390982E-2,-2.804149210E-1
8.472416666E-2,-2.871275246E-2,5.065442920E-2,-1.533379680E-1
9.469416668E-2,-4.806879044E-2,1.966009319E-2,8.533952773E-2
1.046641667E-1,-8.096142501E-2,-3.352793455E-3,2.396031100E-1
1.146346250E-1,-2.893567756E-2,-2.603004992E-2,1.750223672E-1
1.246046250E-1,2.377799481E-2,-2.371689141E-2,5.014922976E-2
1.345746250E-1,-6.927050203E-3,-5.172563910E-2,-4.900609910E-2
1.445456250E-1,-6.636005044E-2,-1.000645709E-1,-1.373241985E-1
1.545156250E-1,-6.572285011E-2,-1.183078837E-1,-1.340672994E-1
1.644856250E-1,-5.919487238E-2,-1.090780538E-1,-1.012550640E-1
1.744566250E-1,-4.602708891E-2,-8.512201130E-2,-1.317675894E-1
1.844266250E-1,-1.350224420E-2,-5.662677526E-2,-2.344745171E-1
1.943966250E-1,-6.345939294E-2,-4.378161192E-2,-2.695975721E-1
2.043666250E-1,-1.498970278E-1,-1.673707008E-2,-2.530762643E-1
2.143376250E-1,-2.119576205E-1,-1.269313574E-2,-2.459093320E-1
2.243076250E-1,-2.889044935E-1,-4.711569428E-2,-2.512858468E-1
2.342776250E-1,-3.049005751E-1,-3.528209925E-2,-2.458403349E-1
2.442486250E-1,-2.791554308E-1,-3.299876153E-2,-2.080351621E-1
2.542186250E-1,-2.504767384E-1,-3.452196121E-3,-1.400051469E-1
2.641886250E-1,-2.395588173E-1,3.565690577E-2,-2.989447474E-2
2.741596250E-1,-2.615846939E-1,6.763065040E-2,7.188976228E-2
2.841296250E-1,-2.958581485E-1,1.060936350E-1,1.381439781E-1
