"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.834983826E-3,6.501555460E1,2.551804550E1,1.893005742E1,NaN,NaN,3.778186808E1,3.000000000E1
3.974294662E-2,6.501678649E1,2.552032918E1,1.893005742E1,NaN,NaN,1.224733228E3,3.012348164E1
4.204969406E-1,6.501557133E1,2.551815476E1,1.880786963E1,NaN,NaN,3.268527558E1,3.000000000E1
2.730142951E0,6.501568804E1,2.551822450E1,1.702978516E1,0.000000000E0,NaN,1.462067127E1,1.600000000E1
3.730626941E0,6.501566796E1,2.551822145E1,4.039855957E0,4.300000072E-1,2.179687500E2,1.399977787E1,1.600000000E1
5.379568934E0,6.501576113E1,2.551816346E1,2.299005127E1,4.199999869E-1,3.410156250E2,3.882493927E0,6.000000000E0
6.380578876E0,6.501578193E1,2.551814544E1,2.787237549E1,4.199999869E-1,1.125000000E1,3.574746885E0,6.000000000E0
7.379986882E0,6.501577847E1,2.551817548E1,2.653839111E1,6.000000238E-1,2.847656250E1,3.547435273E0,6.000000000E0
8.352079391E0,6.501578082E1,2.551819554E1,2.719799805E1,8.000000119E-1,6.679687500E0,3.921959120E0,6.000000000E0
9.351430058E0,6.501578318E1,2.551821131E1,2.683007812E1,8.000000119E-1,3.568359375E2,4.138860714E0,6.000000000E0
1.035075295E1,6.501579194E1,2.551821399E1,2.637091064E1,9.599999785E-1,3.568359375E2,4.688180161E0,6.000000000E0
1.135007703E1,6.501579370E1,2.551820824E1,2.623760986E1,9.599999785E-1,3.568359375E2,4.775270914E0,6.000000000E0
1.234945202E1,6.501578409E1,2.551823017E1,2.592303467E1,2.700000107E-1,3.568359375E2,5.244921794E0,6.000000000E0
1.334885550E1,6.501578703E1,2.551824168E1,2.590051270E1,8.500000238E-1,3.364453125E2,4.496450628E0,6.000000000E0
1.434828043E1,6.501579293E1,2.551824852E1,2.618847656E1,7.200000286E-1,3.364453125E2,3.581667653E0,6.000000000E0
1.534776247E1,6.501579711E1,2.551824269E1,2.649201595E1,7.200000286E-1,3.364453070E2,3.196596030E0,7.952877219E0
1.634726810E1,6.501580311E1,2.551824497E1,2.594281971E1,7.599999905E-1,3.367968692E2,3.938437547E0,5.372485918E0
1.734680676E1,6.501580967E1,2.551824987E1,2.591699993E1,7.599999905E-1,3.367968692E2,4.331860497E0,5.372485918E0
1.834637487E1,6.501581478E1,2.551825378E1,2.602479563E1,6.499999762E-1,3.367968701E2,4.536746151E0,4.029364438E0
1.934597123E1,6.501581894E1,2.551825729E1,2.540681277E1,6.499999762E-1,3.367968701E2,4.641695366E0,4.029364438E0
2.034559488E1,6.501582351E1,2.551825807E1,2.486310969E1,6.499999762E-1,3.346874947E2,4.732331091E0,4.029364438E0
2.134525537E1,6.501582966E1,2.551825399E1,2.451117717E1,7.500000000E-1,3.343359313E2,4.740367091E0,4.029364438E0
2.234492302E1,6.501583713E1,2.551824729E1,2.427416242E1,8.199999928E-1,3.343359307E2,4.744508536E0,4.029364438E0
2.334462476E1,6.501584473E1,2.551823961E1,2.411754431E1,9.200000167E-1,3.343359298E2,4.748651530E0,5.372485918E0
2.434434366E1,6.501585358E1,2.551822415E1,2.390036410E1,1.200000048E0,3.258984246E2,4.748651530E0,5.372485918E0
2.534407866E1,6.501586086E1,2.551820997E1,2.339064425E1,1.159999967E0,3.237890493E2,4.748651530E0,4.029364438E0
2.634383190E1,6.501586866E1,2.551819323E1,2.434021586E1,1.200000048E0,3.209765480E2,4.748651530E0,4.029364438E0
2.734359896E1,6.501587575E1,2.551817939E1,2.368738001E1,1.159999967E0,3.230859241E2,4.748651530E0,4.029364438E0
2.834338176E1,6.501588072E1,2.551816684E1,2.388414398E1,1.000000000E0,3.230859260E2,4.748651530E0,4.029364438E0
2.934317899E1,6.501589019E1,2.551814843E1,2.421615810E1,1.210000038E0,3.202734226E2,4.748651530E0,4.029364438E0
3.034298921E1,6.501589845E1,2.551813128E1,2.405080050E1,1.149999976E0,3.157031096E2,4.748651530E0,4.029364438E0
3.134280872E1,6.501590830E1,2.551811444E1,2.361334628E1,1.210000038E0,3.153515462E2,4.748651530E0,4.029364438E0
3.234264100E1,6.501591951E1,2.551809864E1,2.342381306E1,1.250000000E0,3.199218595E2,4.748651530E0,4.029364438E0
3.334248459E1,6.501592411E1,2.551808480E1,2.300419440E1,9.499999881E-1,3.199218632E2,4.748651530E0,4.029364438E0
3.434233689E1,6.501592932E1,2.551806144E1,2.271205536E1,1.070000052E0,3.079687338E2,4.748651530E0,4.029364438E0
3.534219933E1,6.501593161E1,2.551799673E1,2.799955805E1,1.161429962E0,3.077207324E2,4.683475502E0,4.544680026E0
3.634206879E1,6.501593996E1,2.551797953E1,2.756974369E1,1.150036819E0,3.093867506E2,2.827276921E0,3.000000000E0
3.734194839E1,6.501594881E1,2.551797478E1,2.692100789E1,9.920435488E-1,3.155097169E2,3.120907444E0,3.011244418E0
3.834183466E1,6.501595728E1,2.551795224E1,2.674829943E1,9.604039923E-1,3.236974043E2,3.037715852E0,3.000000000E0
3.934172785E1,6.501596730E1,2.551793531E1,2.669368350E1,1.076796733E0,3.231812817E2,2.859690571E0,3.000000000E0
4.034162855E1,6.501596926E1,2.551789175E1,2.689021178E1,1.044443269E0,3.100396106E2,2.982029929E0,3.000000000E0
4.134153402E1,6.501597416E1,2.551787885E1,2.665292178E1,9.433671062E-1,3.046546593E2,3.212265731E0,3.000000000E0
4.234144652E1,6.501597408E1,2.551785202E1,2.665044989E1,8.885207225E-1,3.207572511E2,3.228754752E0,3.000000000E0
4.334136498E1,6.501596622E1,2.551779289E1,2.715524893E1,1.048298681E0,3.126797319E2,3.356181086E0,3.000000000E0
4.434128809E1,6.501597465E1,2.551777860E1,2.756621196E1,9.751252118E-1,3.256524080E2,3.510467861E0,3.098911099E0
4.534121501E1,6.501598330E1,2.551775159E1,2.757832039E1,1.076832898E0,3.273040545E2,3.522237351E0,3.139454276E0
4.634114814E1,6.501599069E1,2.551771662E1,2.827302897E1,1.040074329E0,3.298639293E2,3.542250910E0,3.286652036E0
4.734108412E1,6.501599892E1,2.551767890E1,2.811079834E1,8.549890133E-1,3.230296364E2,3.643159718E0,3.304318146E0
4.834102499E1,6.501600890E1,2.551767057E1,2.817445157E1,8.059411035E-1,3.340830209E2,3.686305595E0,3.236336323E0
4.934096980E1,6.501602619E1,2.551766421E1,2.786454534E1,1.039966406E0,3.322589078E2,3.791054587E0,3.415861955E0
5.034091735E1,6.501603652E1,2.551765701E1,2.769425486E1,1.074616070E0,3.193307671E2,3.824670628E0,3.557109051E0
5.134086823E1,6.501605044E1,2.551765264E1,2.773764214E1,1.150094729E0,3.247106066E2,3.975746031E0,3.742435686E0
5.234082341E1,6.501606255E1,2.551766992E1,2.742676623E1,1.155856063E0,3.445773926E2,4.003500090E0,4.024990952E0
5.334078014E1,6.501607367E1,2.551766030E1,2.761211404E1,1.084276923E0,3.203010069E2,4.145304055E0,4.003982585E0
5.434073997E1,6.501608155E1,2.551766075E1,2.741061440E1,7.390419864E-1,3.153542885E2,4.138653943E0,4.026583867E0
5.534070313E1,6.501609348E1,2.551764115E1,2.750019369E1,1.110096356E0,3.159638052E2,4.178795495E0,4.000472159E0
5.634066713E1,6.501610392E1,2.551764048E1,2.798037424E1,1.127462220E0,3.184121865E2,4.156099889E0,4.016236166E0
5.734063411E1,6.501611214E1,2.551762099E1,2.855536662E1,9.227734936E-1,3.144846530E2,4.146406933E0,4.071555476E0
5.834060323E1,6.501611182E1,2.551760240E1,2.817732462E1,8.511136958E-1,3.122933216E2,4.130611458E0,4.043470806E0
5.934057403E1,6.501610509E1,2.551757954E1,2.765588092E1,1.099314723E0,2.989349992E2,4.142337189E0,4.084919084E0
6.034054792E1,6.501610437E1,2.551755998E1,2.672629735E1,1.090245341E0,2.967786006E2,4.066581684E0,5.217312681E0
6.134052253E1,6.501610502E1,2.551753510E1,2.623688047E1,1.009421931E0,2.882883389E2,4.005955672E0,5.021627450E0
6.234049809E1,6.501611113E1,2.551750957E1,2.592953808E1,1.211677348E0,2.935249946E2,4.004005586E0,4.944565975E0
6.334047639E1,6.501611355E1,2.551748726E1,2.607372005E1,1.088697901E0,2.913193941E2,3.987673398E0,5.028888300E0
6.434045565E1,6.501611485E1,2.551746279E1,2.561804271E1,1.107056206E0,2.882612525E2,3.964155067E0,4.929266531E0
6.534043550E1,6.501611564E1,2.551744313E1,2.514522269E1,1.057243079E0,2.855949312E2,3.872345798E0,4.818741258E0
6.634041774E1,6.501611361E1,2.551742207E1,2.473495327E1,1.020986236E0,2.823414704E2,3.891982120E0,4.740668551E0
6.734040046E1,6.501611670E1,2.551739220E1,2.430933970E1,1.273370282E0,2.857522077E2,3.938976340E0,4.796097295E0
6.834038460E1,6.501611482E1,2.551735849E1,2.391220701E1,1.463726301E0,2.799150740E2,3.917147253E0,4.730468694E0
6.934037042E1,6.501610749E1,2.551733569E1,2.410896380E1,1.229780416E0,2.590109886E2,3.917576201E0,5.247888588E0
7.034035659E1,6.501610101E1,2.551731078E1,2.405040854E1,1.339716227E0,2.492506174E2,3.884681466E0,4.798936616E0
7.134034252E1,6.501609038E1,2.551730523E1,2.368443155E1,1.112983760E0,2.318413502E2,3.863858357E0,4.823086079E0
7.234033096E1,6.501607569E1,2.551729084E1,2.323407465E1,1.330489244E0,2.207620527E2,3.830923412E0,4.714090122E0
7.334031975E1,6.501606394E1,2.551727726E1,2.301459839E1,1.347857836E0,2.170552061E2,3.807629283E0,4.797517952E0
7.434030831E1,6.501605463E1,2.551726468E1,2.282185627E1,1.216399464E0,2.169576623E2,3.824361133E0,4.619635094E0
7.534029877E1,6.501604476E1,2.551725064E1,2.283228466E1,1.150377330E0,2.171156195E2,3.802799829E0,4.735850085E0
7.634028900E1,6.501603497E1,2.551724620E1,2.297154861E1,1.018481813E0,2.081825677E2,3.756050768E0,4.587961280E0
7.734028065E1,6.501602016E1,2.551722427E1,2.332472997E1,1.434944171E0,2.077895793E2,3.702741456E0,4.584323428E0
7.834027231E1,6.501601152E1,2.551721535E1,2.230149381E1,1.334520929E0,2.089549252E2,3.697829882E0,4.851516376E0
7.934026539E1,6.501600649E1,2.551721441E1,2.244511835E1,8.744077634E-1,2.047650730E2,3.653844078E0,4.589314247E0
8.034025788E1,6.501599715E1,2.551721025E1,2.275296932E1,8.580518618E-1,2.002735517E2,3.629450848E0,4.369549745E0
8.134025216E1,6.501598411E1,2.551718961E1,2.313878891E1,1.233037602E0,2.051338870E2,3.642453339E0,4.443083763E0
8.234024560E1,6.501597411E1,2.551717674E1,2.322092797E1,1.293703549E0,2.070973833E2,3.665482766E0,4.192836885E0
8.334023976E1,6.501597103E1,2.551716615E1,2.321404729E1,9.472621153E-1,2.098656872E2,3.635158253E0,4.167049274E0
8.434023464E1,6.501596144E1,2.551715609E1,2.360298742E1,9.695435345E-1,2.041845354E2,3.650343362E0,3.994170902E0
8.534022915E1,6.501595153E1,2.551713384E1,2.347471808E1,1.089708837E0,2.091387268E2,3.746801153E0,4.070888560E0
8.634022546E1,6.501594178E1,2.551712047E1,2.394900250E1,1.183899974E0,2.055730934E2,3.722632963E0,3.811233254E0
8.734022057E1,6.501593440E1,2.551711976E1,2.379909116E1,9.870489633E-1,2.006059209E2,3.696734295E0,3.595336662E0
8.834021640E1,6.501592355E1,2.551711901E1,2.335381926E1,9.279882239E-1,1.919795668E2,3.705596152E0,3.585296946E0
8.934021330E1,6.501591267E1,2.551711224E1,2.325298061E1,1.035239732E0,1.900780252E2,3.673999277E0,3.443188484E0
9.034020960E1,6.501589954E1,2.551710376E1,2.246313648E1,8.429477826E-1,1.921847307E2,3.726933868E0,3.652666633E0
9.134020638E1,6.501588775E1,2.551709496E1,2.168386669E1,8.067373150E-1,1.996448572E2,3.687348904E0,3.577720116E0
9.234020364E1,6.501586889E1,2.551707689E1,2.180777907E1,9.744922081E-1,2.025839182E2,3.672704396E0,3.697548979E0
9.334020078E1,6.501586154E1,2.551707508E1,2.167613043E1,7.187331832E-1,2.012129656E2,3.702151825E0,3.600777014E0
9.434019852E1,6.501584937E1,2.551707774E1,2.195315006E1,7.193045912E-1,1.906308083E2,3.762805154E0,3.787504255E0
9.534019601E1,6.501583619E1,2.551706843E1,2.153834523E1,8.753911215E-1,1.949873197E2,3.743991311E0,3.839169489E0
9.634019339E1,6.501582935E1,2.551707123E1,2.099920822E1,5.894817683E-1,1.886508977E2,3.756860986E0,3.957554615E0
9.734019148E1,6.501581120E1,2.551706119E1,2.080008071E1,1.089861891E0,1.906851620E2,3.815146782E0,4.059600535E0
9.834019005E1,6.501580499E1,2.551706441E1,2.066356464E1,1.009739269E0,1.907282860E2,3.827628995E0,4.055314465E0
9.934018815E1,6.501579037E1,2.551705976E1,2.053267784E1,1.172003912E0,1.927862826E2,3.829333338E0,3.966088826E0
1.003401872E2,6.501577464E1,2.551706152E1,2.061115918E1,1.325877057E0,1.872891106E2,3.813522583E0,3.862306027E0
1.013401854E2,6.501576689E1,2.551706859E1,2.075233901E1,1.023856743E0,1.844193481E2,3.877975539E0,4.137009154E0
1.023401833E2,6.501575577E1,2.551708162E1,2.071205952E1,1.040122914E0,1.747622746E2,3.917736081E0,4.138841916E0
1.033401829E2,6.501574486E1,2.551708470E1,2.051826637E1,1.061743033E0,1.790952013E2,3.908005679E0,4.161663153E0
1.043401821E2,6.501573574E1,2.551708579E1,2.024765129E1,8.877528019E-1,1.770653291E2,3.965799515E0,4.195967785E0
1.053401810E2,6.501572307E1,2.551708621E1,1.963644091E1,1.021141087E0,1.741603515E2,3.965955926E0,4.125030268E0
1.063401804E2,6.501571409E1,2.551708969E1,1.962167952E1,9.161780481E-1,1.729126697E2,3.970500415E0,4.164478547E0
1.073401793E2,6.501570513E1,2.551709252E1,1.946583141E1,9.671287381E-1,1.737066920E2,3.931646838E0,4.081468526E0
1.083401783E2,6.501569656E1,2.551710789E1,1.962794660E1,1.005509885E0,1.670185784E2,3.913350063E0,4.224247009E0
1.093401779E2,6.501568543E1,2.551711383E1,1.952957704E1,1.076650265E0,1.682949195E2,3.897506857E0,4.321469457E0
1.103401774E2,6.501567957E1,2.551712847E1,2.014867258E1,9.203647351E-1,1.649294941E2,3.883014614E0,4.359935144E0
1.113401763E2,6.501567156E1,2.551713711E1,1.949051926E1,9.096368042E-1,1.637553787E2,3.849773007E0,4.326833641E0
1.123401763E2,6.501566173E1,2.551715352E1,1.966600759E1,1.014704177E0,1.590814137E2,3.833443120E0,4.347178157E0
1.133401753E2,6.501565582E1,2.551717347E1,1.964380189E1,9.937032753E-1,1.497262293E2,3.835458940E0,4.322268331E0
1.143401762E2,6.501565401E1,2.551719048E1,1.925956712E1,8.118114105E-1,1.339912670E2,3.817740968E0,4.305275548E0
1.153401750E2,6.501565224E1,2.551721473E1,1.945732485E1,8.393119632E-1,1.200965316E2,3.861103710E0,4.387588804E0
1.163401752E2,6.501565353E1,2.551724195E1,1.941552376E1,9.255721291E-1,1.056677635E2,3.852812385E0,4.428200055E0
1.173401743E2,6.501565672E1,2.551725963E1,1.930677848E1,8.021034633E-1,9.249985837E1,3.828510315E0,4.379303084E0
1.183401741E2,6.501565983E1,2.551728206E1,1.934472636E1,9.091005902E-1,8.488968162E1,3.817073086E0,4.305437535E0
1.193401748E2,6.501566137E1,2.551730886E1,1.921895908E1,1.066098338E0,8.478835650E1,3.797074436E0,4.232228622E0
1.203401744E2,6.501566039E1,2.551733842E1,1.918640102E1,1.213985942E0,9.014902688E1,3.784134199E0,4.199319840E0
1.213401750E2,6.501566229E1,2.551736427E1,1.907430707E1,1.192204446E0,8.913252122E1,3.751958791E0,4.129214175E0
1.223401752E2,6.501565660E1,2.551737657E1,1.886222266E1,9.096096555E-1,1.067948175E2,3.712366775E0,4.095597242E0
1.233401749E2,6.501565247E1,2.551739770E1,1.887685368E1,9.557427804E-1,1.129371014E2,3.723726876E0,4.158913993E0
1.243401753E2,6.501564896E1,2.551742228E1,1.911047161E1,1.089020736E0,1.126129699E2,3.727164463E0,4.221121115E0
1.253401752E2,6.501564697E1,2.551745129E1,1.899831634E1,1.160607387E0,1.074806573E2,3.695664163E0,4.171648211E0
1.263401753E2,6.501564998E1,2.551747374E1,1.907566266E1,1.011967905E0,9.392707068E1,3.664356668E0,4.176353839E0
1.273401754E2,6.501565602E1,2.551749981E1,1.924206755E1,9.584544063E-1,7.826229197E1,3.703050081E0,4.078463586E0
1.283401752E2,6.501566049E1,2.551752471E1,1.934837409E1,9.807897728E-1,7.327223719E1,3.688820519E0,4.085470478E0
1.293401762E2,6.501566661E1,2.551754689E1,1.901512447E1,9.851533103E-1,6.633261785E1,3.656982240E0,4.239091261E0
1.303401763E2,6.501567404E1,2.551755623E1,1.902210028E1,9.235322589E-1,5.650368634E1,3.692359794E0,4.320791324E0
1.313401769E2,6.501568162E1,2.551757596E1,1.863745635E1,9.785578333E-1,5.511856683E1,3.663201978E0,4.334244221E0
1.323401767E2,6.501569190E1,2.551759811E1,1.861193791E1,1.229770213E0,5.068492643E1,3.628800244E0,4.365792192E0
1.333401773E2,6.501570207E1,2.551760377E1,1.882159587E1,1.115358196E0,4.170157577E1,3.611941110E0,4.383896731E0
1.343404720E2,6.501570764E1,2.551762189E1,1.854280263E1,1.129429688E0,4.839926183E1,3.656637176E0,4.439803889E0
1.353404951E2,6.501571688E1,2.551764099E1,1.877032552E1,1.188327469E0,4.741707470E1,3.641532067E0,4.550516178E0
1.363405132E2,6.501572496E1,2.551766272E1,1.902120117E1,1.245285106E0,4.886400850E1,3.602056531E0,4.474179889E0
1.373405364E2,6.501572932E1,2.551767579E1,1.900863591E1,1.013100498E0,5.025635115E1,3.645235214E0,4.514227671E0
1.383405526E2,6.501573483E1,2.551769367E1,1.874071636E1,1.081488733E0,5.211853120E1,3.662444475E0,4.619720275E0
1.393405638E2,6.501573865E1,2.551770805E1,1.894792178E1,1.005437521E0,5.262302658E1,3.682971102E0,4.620383941E0
1.403405806E2,6.501574662E1,2.551773137E1,1.893394665E1,1.187864021E0,5.159981884E1,3.743437175E0,4.771939701E0
1.413405893E2,6.501575641E1,2.551775143E1,1.882926017E1,1.218493710E0,4.734216731E1,3.738182148E0,4.732130378E0
1.423405937E2,6.501576247E1,2.551776750E1,1.908883217E1,1.126572708E0,4.442814959E1,3.768407419E0,4.895788147E0
1.433406028E2,6.501577046E1,2.551778874E1,1.925481066E1,1.228305182E0,4.478875216E1,3.786914206E0,4.983547169E0
1.443406057E2,6.501577956E1,2.551780841E1,1.956497038E1,1.229455970E0,4.536592793E1,3.811325359E0,5.147529335E0
